Lat;Lon;alfa
-8.27708;112.31542;-167.9876
-8.26292;112.31292;-167.9876
-8.25708;112.31208;-167.9876
-8.25125;112.31042;-167.9876
-8.25042;112.31042;-167.9876
-8.24958;112.30958;-167.9876
-8.24958;112.30958;-167.9876
-8.24625;112.30875;-167.9876
-8.23125;112.30542;-167.9876
-8.22042;112.30292;-167.9876
-8.21542;112.30208;-167.9876
-8.21458;112.30208;-167.9876
-8.21375;112.30208;-167.9876
-8.21375;112.30208;-167.9876
-8.21292;112.30208;-167.9876
-8.15625;112.28792;-167.9876
-8.15625;112.28792;-167.9876
-8.14542;112.28542;-167.9876
-8.14458;112.28542;-167.9876
-8.14292;112.28542;-167.9876
-8.14208;112.28458;-167.9876
-8.14208;112.28458;-167.9876
-8.13458;112.28292;-167.9876
-8.12958;112.28208;-167.9876
-8.12958;112.28208;-167.9876
-8.12875;112.28208;-167.9876
-8.12792;112.28208;-167.9876
-8.12708;112.28208;-167.9876
-8.12708;112.28208;-167.9876
-8.12625;112.28125;-167.9876
-8.12542;112.28125;-167.9876
-8.28292;112.31875;-167.9876
-8.28125;112.31875;-167.9876
-8.27708;112.31625;-167.9876
-8.26542;112.31458;-167.9876
-8.25708;112.31292;-167.9876
-8.23042;112.30625;-167.9876
-8.22208;112.30458;-167.9876
-8.22125;112.30375;-167.9876
-8.21375;112.30292;-167.9876
-8.21292;112.30292;-167.9876
-8.21292;112.30208;-167.9876
-8.15792;112.28958;-167.9876
-8.14625;112.28625;-167.9876
-8.14625;112.28625;-167.9876
-8.14458;112.28625;-167.9876
-8.14292;112.28625;-167.9876
-8.14125;112.28542;-167.9876
-8.14125;112.28542;-167.9876
-8.14042;112.28542;-167.9876
-8.12875;112.28292;-167.9876
-8.12875;112.28292;-167.9876
-8.12792;112.28292;-167.9876
-8.12708;112.28292;-167.9876
-8.12625;112.28208;-167.9876
-8.12542;112.28208;-167.9876
-8.12458;112.28208;-167.9876
-8.28542;112.32042;-167.9876
-8.27708;112.31708;-167.9876
-8.26542;112.31542;-167.9876
-8.26458;112.31542;-167.9876
-8.26458;112.31542;-167.9876
-8.25708;112.31375;-167.9876
-8.25708;112.31375;-167.9876
-8.24292;112.30958;-167.9876
-8.22375;112.30542;-167.9876
-8.22292;112.30542;-167.9876
-8.22208;112.30542;-167.9876
-8.22208;112.30542;-167.9876
-8.21375;112.30375;-167.9876
-8.21292;112.30375;-167.9876
-8.16208;112.29042;-167.9876
-8.15792;112.29042;-167.9876
-8.15708;112.28958;-167.9876
-8.15625;112.28958;-167.9876
-8.15542;112.28958;-167.9876
-8.14542;112.28708;-167.9876
-8.14458;112.28708;-167.9876
-8.14375;112.28708;-167.9876
-8.14292;112.28708;-167.9876
-8.14292;112.28708;-167.9876
-8.14125;112.28625;-167.9876
-8.14042;112.28625;-167.9876
-8.14042;112.28625;-167.9876
-8.13042;112.28458;-167.9876
-8.13042;112.28375;-167.9876
-8.12875;112.28375;-167.9876
-8.12792;112.28375;-167.9876
-8.12792;112.28375;-167.9876
-8.12708;112.28375;-167.9876
-8.12458;112.28292;-167.9876
-8.12375;112.28292;-167.9876
-8.12292;112.28292;-167.9876
-8.12292;112.28292;-167.9876
-8.28542;112.32125;-167.9876
-8.27708;112.31792;-167.9876
-8.27125;112.31792;-167.9876
-8.27042;112.31708;-167.9876
-8.26792;112.31708;-167.9876
-8.26542;112.31625;-167.9876
-8.25708;112.31458;-167.9876
-8.25708;112.31458;-167.9876
-8.25208;112.31292;-167.9876
-8.23125;112.30792;-167.9876
-8.22292;112.30625;-167.9876
-8.21375;112.30458;-167.9876
-8.16292;112.29208;-167.9876
-8.16125;112.29125;-167.9876
-8.16125;112.29125;-167.9876
-8.14458;112.28792;-167.9876
-8.14458;112.28792;-167.9876
-8.14375;112.28792;-167.9876
-8.14292;112.28792;-167.9876
-8.14208;112.28792;-167.9876
-8.14208;112.28708;-167.9876
-8.14125;112.28708;-167.9876
-8.14042;112.28708;-167.9876
-8.12958;112.28458;-167.9876
-8.12708;112.28458;-167.9876
-8.27042;112.31875;-167.9876
-8.26792;112.31792;-167.9876
-8.25708;112.31542;-167.9876
-8.25625;112.31542;-167.9876
-8.25292;112.31458;-167.9876
-8.25208;112.31375;-167.9876
-8.24625;112.31208;-167.9876
-8.23542;112.30958;-167.9876
-8.23125;112.30875;-167.9876
-8.22458;112.30708;-167.9876
-8.22375;112.30708;-167.9876
-8.22375;112.30708;-167.9876
-8.16625;112.29375;-167.9876
-8.16208;112.29292;-167.9876
-8.14542;112.28875;-167.9876
-8.14375;112.28875;-167.9876
-8.14375;112.28875;-167.9876
-8.14292;112.28875;-167.9876
-8.14125;112.28792;-167.9876
-8.14125;112.28792;-167.9876
-8.14042;112.28792;-167.9876
-8.13125;112.28625;-167.9876
-8.13125;112.28625;-167.9876
-8.12958;112.28542;-167.9876
-8.12875;112.28542;-167.9876
-8.12875;112.28542;-167.9876
-8.12792;112.28542;-167.9876
-8.12708;112.28542;-167.9876
-8.12625;112.28542;-167.9876
-8.12625;112.28458;-167.9876
-8.28208;112.32208;-167.9876
-8.27125;112.31958;-167.9876
-8.27042;112.31958;-167.9876
-8.26958;112.31958;-167.9876
-8.26958;112.31875;-167.9876
-8.26792;112.31875;-167.9876
-8.26125;112.31708;-167.9876
-8.22542;112.30792;-167.9876
-8.22542;112.30792;-167.9876
-8.22458;112.30792;-167.9876
-8.16625;112.29458;-167.9876
-8.15958;112.29292;-167.9876
-8.14625;112.29042;-167.9876
-8.14542;112.28958;-167.9876
-8.14375;112.28958;-167.9876
-8.14292;112.28958;-167.9876
-8.14292;112.28958;-167.9876
-8.14208;112.28958;-167.9876
-8.14125;112.28875;-167.9876
-8.13375;112.28708;-167.9876
-8.13292;112.28708;-167.9876
-8.13292;112.28708;-167.9876
-8.13208;112.28708;-167.9876
-8.13125;112.28708;-167.9876
-8.13042;112.28708;-167.9876
-8.12875;112.28625;-167.9876
-8.12792;112.28625;-167.9876
-8.12792;112.28625;-167.9876
-8.12542;112.28542;-167.9876
-8.12542;112.28542;-167.9876
-8.27958;112.32208;-167.9876
-8.26958;112.31958;-167.9876
-8.26792;112.31958;-167.9876
-8.26708;112.31958;-167.9876
-8.26375;112.31875;-167.9876
-8.26125;112.31792;-167.9876
-8.22458;112.30875;-167.9876
-8.21292;112.30625;-167.9876
-8.15958;112.29375;-167.9876
-8.14625;112.29125;-167.9876
-8.14542;112.29042;-167.9876
-8.14458;112.29042;-167.9876
-8.14375;112.29042;-167.9876
-8.14292;112.29042;-167.9876
-8.14208;112.29042;-167.9876
-8.14208;112.28958;-167.9876
-8.14125;112.28958;-167.9876
-8.13708;112.28875;-167.9876
-8.13708;112.28875;-167.9876
-8.13292;112.28792;-167.9876
-8.13208;112.28792;-167.9876
-8.13208;112.28792;-167.9876
-8.13125;112.28792;-167.9876
-8.13042;112.28792;-167.9876
-8.12875;112.28708;-167.9876
-8.12792;112.28708;-167.9876
-8.12708;112.28708;-167.9876
-8.12708;112.28708;-167.9876
-8.12625;112.28708;-167.9876
-8.12542;112.28625;-167.9876
-8.12542;112.28625;-167.9876
-8.12458;112.28625;-167.9876
-8.28208;112.32375;-167.9876
-8.27292;112.32125;-167.9876
-8.26875;112.32042;-167.9876
-8.26875;112.32042;-167.9876
-8.26792;112.32042;-167.9876
-8.26708;112.32042;-167.9876
-8.26208;112.31958;-167.9876
-8.26125;112.31875;-167.9876
-8.23458;112.31208;-167.9876
-8.21292;112.30708;-167.9876
-8.21208;112.30708;-167.9876
-8.18625;112.30042;-167.9876
-8.18542;112.30042;-167.9876
-8.18542;112.30042;-167.9876
-8.16042;112.29458;-167.9876
-8.15792;112.29458;-167.9876
-8.15708;112.29375;-167.9876
-8.15625;112.29375;-167.9876
-8.15042;112.29292;-167.9876
-8.14708;112.29208;-167.9876
