Lat;Lon;LOS_DES
-8.12875;112.28875;0.2205
-8.12625;112.28875;-0.323
-8.12625;112.28875;-0.323
-8.12542;112.28792;-0.1656
-8.12458;112.28792;-0.1641
-8.12375;112.28792;-0.4186
-8.12375;112.28792;-0.4186
-8.29375;112.32792;-1.6229
-8.29375;112.32792;-1.6229
-8.28125;112.32542;-1.9517
-8.27375;112.32375;-1.675
-8.27125;112.32292;-1.5836
-8.27042;112.32292;-2.1859
-8.26875;112.32208;-1.4861
-8.26792;112.32208;-0.9103
-8.26208;112.32125;-1.4365
-8.26208;112.32125;-1.4365
-8.26042;112.32042;-1.6725
-8.25625;112.31958;-1.7292
-8.22542;112.31125;-0.7973
-8.22208;112.31042;-0.7195
-8.18708;112.30292;-0.587
-8.18625;112.30292;-0.5537
-8.18625;112.30208;-1.0392
-8.17875;112.30125;-0.1867
-8.16708;112.29792;-0.5856
-8.16708;112.29792;-0.5856
-8.15792;112.29625;-0.6377
-8.15708;112.29625;-0.2132
-8.14792;112.29375;-0.6746
-8.14708;112.29375;-0.3406
-8.14625;112.29375;-0.6531
-8.14458;112.29292;-0.6114
-8.13542;112.29125;0.1755
-8.13458;112.29125;0.2876
-8.13125;112.29042;-0.6837
-8.13042;112.29042;-1.5644
-8.13042;112.29042;-1.5644
-8.12875;112.28958;-0.3535
-8.12792;112.28958;-0.3267
-8.12542;112.28875;0.289
-8.12458;112.28875;-0.6194
-8.12375;112.28875;-0.4175
-8.12292;112.28875;-0.0035
-8.12292;112.28875;-0.0035
-8.29292;112.32875;-1.7646
-8.27792;112.32542;-2.0279
-8.27292;112.32375;-1.8314
-8.26875;112.32292;-1.0635
-8.26875;112.32292;-1.0635
-8.26792;112.32292;-0.302
-8.26708;112.32292;-0.7709
-8.26542;112.32292;-0.6253
-8.26458;112.32292;-1.0857
-8.26292;112.32208;-1.2454
-8.22542;112.31208;-1.245
-8.17875;112.30208;-0.1232
-8.16792;112.29875;-0.5871
-8.16708;112.29875;-0.5831
-8.15708;112.29708;-0.3539
-8.15125;112.29542;-0.2618
-8.15042;112.29542;-0.0732
-8.14875;112.29458;-0.1445
